source_id,latest_block,agent_risk_state,agent_execution_mode,baseline_notional,agent_notional,baseline_paper_gas_paid_proxy,agent_paper_gas_paid_proxy,avoided_paper_gas_paid_proxy,paper_gas_paid_proxy_reduction,baseline_paper_slippage_proxy,agent_paper_slippage_proxy,avoided_paper_slippage_proxy,paper_slippage_proxy_reduction,baseline_paper_failed_tx_cost_proxy,agent_paper_failed_tx_cost_proxy,avoided_paper_failed_tx_cost_proxy,paper_failed_tx_cost_proxy_reduction,baseline_paper_confirmation_delay_blocks_proxy,agent_paper_confirmation_delay_blocks_proxy,avoided_paper_confirmation_delay_blocks_proxy,paper_confirmation_delay_blocks_proxy_reduction,baseline_paper_execution_cost_proxy,agent_paper_execution_cost_proxy,avoided_paper_execution_cost_proxy,paper_execution_cost_proxy_reduction,baseline_opportunity_capture_proxy,agent_opportunity_capture_proxy,avoided_opportunity_capture_proxy,opportunity_capture_proxy_reduction
19000375_2026-05-01T10:37:34.586773+00:00,19000375,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.182269,0.0911345,0.0911345,0.5,0.0246807,0.01234035,0.01234035,0.5,2.0254959,2.0254959,0.0,0.0,0.40949929,0.204749645,0.204749645,0.5,1.0,0.5,0.5,0.5
19000376_2026-05-01T10:38:35.464399+00:00,19000376,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.18683,0.093415,0.093415,0.5,0.026049,0.0130245,0.0130245,0.5,2.030513,2.030513,0.0,0.0,0.4159303000000001,0.20796515,0.2079651500000001,0.5000000000000001,1.0,0.5,0.5,0.5
19000377_2026-05-01T10:39:36.336725+00:00,19000377,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.1882979999999999,0.0941489999999999,0.09414900000000001,0.5000000000000003,0.0264893999999999,0.0132446999999999,0.0132447,0.5000000000000019,2.0321278,2.0321278,0.0,0.0,0.4180001799999998,0.2090000899999999,0.2090000899999999,0.5,1.0,0.5,0.5,0.5
19000378_2026-05-01T10:40:24.886957+00:00,19000378,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.1946529999999999,0.0973264999999999,0.09732650000000001,0.5000000000000003,0.0283958999999999,0.0141979499999999,0.01419795,0.5000000000000018,2.0391183,2.0391183,0.0,0.0,0.4269607299999999,0.2134803649999999,0.213480365,0.5000000000000001,1.0,0.5,0.5,0.5
19000379_2026-05-01T10:41:25.515608+00:00,19000379,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.1966919999999999,0.0983459999999999,0.09834599999999999,0.5000000000000002,0.0290075999999999,0.0145037999999999,0.0145038,0.5000000000000018,2.0413612,2.0413612,0.0,0.0,0.4298357199999999,0.2149178599999999,0.21491786000000002,0.5000000000000001,1.0,0.5,0.5,0.5
19000380_2026-05-01T10:42:26.357816+00:00,19000380,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.194519,0.0972595,0.0972595,0.5,0.0283557,0.01417785,0.01417785,0.5,2.0389709,2.0389709,0.0,0.0,0.42677179,0.213385895,0.213385895,0.5,1.0,0.5,0.5,0.5
19000381_2026-05-01T10:43:27.171876+00:00,19000381,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.1956,0.0978,0.0978,0.5,0.02868,0.01434,0.01434,0.5,2.04016,2.04016,0.0,0.0,0.428296,0.214148,0.214148,0.5,1.0,0.5,0.5,0.5
19000382_2026-05-01T10:44:27.943640+00:00,19000382,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.2070459999999999,0.1035229999999999,0.10352299999999999,0.5000000000000002,0.0321137999999999,0.0160568999999999,0.016056900000000002,0.5000000000000017,2.0527506,2.0527506,0.0,0.0,0.4444348599999999,0.2222174299999999,0.22221742999999997,0.5000000000000001,1.0,0.5,0.5,0.5
19000383_2026-05-01T10:45:28.775213+00:00,19000383,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.2104399999999999,0.1052199999999999,0.10522000000000001,0.5000000000000002,0.0331319999999999,0.0165659999999999,0.016565999999999997,0.5000000000000014,2.056484,2.056484,0.0,0.0,0.4492203999999998,0.2246101999999999,0.2246101999999999,0.5,1.0,0.5,0.5,0.5
19000384_2026-05-01T10:46:29.659946+00:00,19000384,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.2089849999999999,0.1044924999999999,0.10449249999999999,0.5000000000000002,0.0326954999999999,0.0163477499999999,0.016347749999999998,0.5000000000000014,2.0548835,2.0548835,0.0,0.0,0.4471688499999998,0.2235844249999999,0.2235844249999999,0.5,1.0,0.5,0.5,0.5
