risk_state,execution_mode,rows,future_bad_rate,avoided_bad_count,baseline_bad_exposure,agent_bad_exposure,avoided_bad_exposure,bad_exposure_reduction,baseline_future_risk_exposure,agent_future_risk_exposure,avoided_future_risk_exposure,future_risk_reduction,mean_future_risk_score,mean_future_gas_dij,mean_future_base_fee_dij
HIGH_STRESS,PAUSE,42,1.0,42,42.0,0.0,42.0,1.0,49.95974295,0.0,49.95974295,1.0,1.1895176892857142,1.148929976190476,0.8363237380952382
CAUTION,REDUCE_SIZE,172,0.27906976744186046,0,48.0,18.500000000000007,29.499999999999993,0.6145833333333331,125.9133759,56.3156870075,69.5976888925,0.5527426168588654,0.7320545110465116,0.4687603081395349,0.3740953837209302
RECOVERY,RESUME_GRADUALLY,152,0.05921052631578947,0,9.0,4.5,4.5,0.5,89.37857550000001,44.68928775,44.68928775,0.49999999999999994,0.5880169440789474,0.24398834210526316,0.18863984210526316
EARLY_CAUTION,SELECTIVE_EXECUTE,23,0.043478260869565216,0,1.0,0.75,0.25,0.25,11.528688250000002,8.646516187500001,2.8821720625000005,0.25,0.5012473152173914,0.049070913043478256,0.035088
NORMAL,EXECUTE_FULL,117,0.008547008547008548,0,1.0,1.0,0.0,0.0,53.270841049999994,53.270841049999994,0.0,0.0,0.4553063337606837,0.016264282051282053,0.011716470085470084
